-1.000000,
-0.499999,
-0.097631,
0.022447,
0.061041,
0.210358,
0.309448,
0.369310,
0.388867,
0.378978,
0.432642,
0.474199,
0.502931,
0.519022,
0.539226,
0.543953,
0.524098,
0.527561,
0.541913,
0.559166,
0.579415,
0.596941,
0.611066,
0.620063,
0.620261,
0.620946,
0.634953,
0.647921,
0.659912,
0.670922,
0.680829,
0.689267,
0.695366,
0.697248,
0.691227,
0.672768,
0.681595,
0.689938,
0.697810,
0.705192,
0.712004,
0.718032,
0.722782,
0.725173,
0.722993,
0.712260,
0.706614,
0.709622,
0.709639,
0.705439,
0.709420,
0.711124,
0.708369,
0.708608,
0.709725,
0.706478,
0.707838,
0.708910,
0.709563,
0.714194,
0.718416,
0.721938,
0.724124,
0.726169,
0.729389,
0.731319,
0.733752,
0.734279,
0.731138,
0.731111,
0.734177,
0.737624,
0.740676,
0.742988,
0.743811,
0.742309,
0.745359,
0.747969,
0.749719,
0.749719,
0.746209,
0.741459,
0.744104,
0.746112,
0.746830,
0.749233,
0.750986,
0.751352,
0.748901,
0.747678,
0.750450,
0.753162,
0.755815,
0.758409,
0.760944,
0.763417,
0.765818,
0.768122,
0.770275,
0.772151,
0.773477,
0.773663,
0.771514,
0.764971,
0.765215,
0.767230,
0.768961,
0.770118,
0.770084,
0.768601,
0.767282,
0.762857,
0.764956,
0.767018,
0.769043,
0.771034,
0.772989,
0.774910,
0.776796,
0.778642,
0.780440,
0.782170,
0.783787,
0.785187,
0.786146,
0.786178,
0.784300,
0.778819
